REGION,GENE
YAL054C,ACS1
YAR015W,ADE1
YAL049C,AIM2
YAL020C,ATS1
YAL060W,BDH1
YAL061W,BDH2
YAL044W-A,BOL1
YAL046C,BOL3
YAR014C,BUD14
YAL021C,CCR4
YAR019C,CDC15
YAL038W,CDC19
YAL041W,CDC24
YAL040C,CLN3
YAL058W,CNE1
YAL039C,CYC3
YAL012W,CYS3
YAL013W,DEP1
YAR023C,DFP1
YAR029W,DFP2
YAL026C,DRS2
YAL059W,ECM1
YAL003W,EFB1
YAR002C-A,ERP1
YAL007C,ERP2
YAL042W,ERV46
YAL053W,FLC2
YAR050W,FLO1
YAL063C,FLO9
YAL028W,FRT2
YAL035W,FUN12
YAL008W,FUN14
YAL034C,FUN19
YAL022C,FUN26
YAL019W,FUN30
YAL044C,GCV3
YAL062W,GDH3
YAL048C,GEM1
YAL031C,GIP4
YAL056W,GPB2
YAR073W,IMD1
YAR018C,KIN3
YAR028W,KTD1
YAL018C,LDS1
YAL024C,LTE1
YAL025C,MAK16
YAL010C,MDM10
YAR033W,MST28
YAL034W-A,MTW1
YAL029C,MYO4
YAL015C,NTG1
YAR002W,NUP60
YAL051W,OAF1
YAR020C,PAU7
YAL068C,PAU8
YAL055W,PEX22
YAR071W,PHO11
YAL023C,PMT2
YAL033W,POP5
YAR031W,PRM9
YAL032C,PRP45
YAL017W,PSK1
YAL043C,PTA1
YAL036C,RBG1
YAR007C,RFA1
YAL027W,SAW1
YAR008W,SEN34
YAL067C,SEO1
YAL030W,SNC1
YAL047C,SPC72
YAL009W,SPO7
YAL005C,SSA1
YAL011W,SWC3
YAR003W,SWD1
YAR042W,SWH1
YAL014C,SYN8
YAL064C-A,TDA8
YAL001C,TFC3
YAL016W,TPD3
YAR027W,UIP3
YAL002W,VPS8
YAR035W,YAT1
YAL004W,YAL004W
YAL016C-A,YAL016C-A
YAL016C-B,YAL016C-B
YAL019W-A,YAL019W-A
YAL026C-A,YAL026C-A
YAL031W-A,YAL031W-A
YAL034C-B,YAL034C-B
YAL037C-A,YAL037C-A
YAL037C-B,YAL037C-B
YAL037W,YAL037W
YAL042C-A,YAL042C-A
YAL045C,YAL045C
YAL047W-A,YAL047W-A
YAL056C-A,YAL056C-A
YAL059C-A,YAL059C-A
YAL063C-A,YAL063C-A
YAL064W,YAL064W
YAL064W-B,YAL064W-B
YAL065C,YAL065C
YAL066W,YAL066W
YAL067W-A,YAL067W-A
YAL068W-A,YAL068W-A
YAL069W,YAL069W
YAR009C,YAR009C
YAR010C,YAR010C
YAR019W-A,YAR019W-A
YAR030C,YAR030C
YAR035C-A,YAR035C-A
YAR043C,YAR043C
YAR044W,YAR044W
YAR047C,YAR047C
YAR052C,YAR052C
YAR053W,YAR053W
YAR060C,YAR060C
YAR061W,YAR061W
YAR062W,YAR062W
YAR064W,YAR064W
YAR066W,YAR066W
YAR068W,YAR068W
YAR069C,YAR069C
YAR070C,YAR070C
YAR074C,YAR074C
YAR075W,YAR075W
YBR085W,AAC3
YBL074C,AAR2
YBR236C,ABD1
YBL015W,ACH1
YBR145W,ADH5
YBR132C,AGP2
YBR108W,AIM3
YBR194W,AIM4
YBR059C,AKL1
YBR110W,ALG1
YBR070C,ALG14
YBL082C,ALG3
YBR243C,ALG7
YBL009W,ALK2
YBR211C,AME1
YBR158W,AMN1
YBR151W,APD1
YBR286W,APE3
YBL037W,APL3
YBR288C,APM3
YBL019W,APN2
YBR149W,ARA1
YBR234C,ARC40
YBR164C,ARL1
YBR249C,ARO4
YBL069W,AST1
YBR217W,ATG12
YBR128C,ATG14
YBR139W,ATG42
YBL078C,ATG8
YBL099W,ATP1
YBR039W,ATP3
YBL089W,AVT5
